name,country,type,alt_name_1,alt_name_2,alt_name_3,alt_name_4,alt_name_5,alt_name_6,alt_name_7,alt_name_8,alt_name_9,alt_name_10
Australian National University,Australia,Academia,Australian National U ni versi ty,ANU,NICTA,,,,,,,
Deakin University,Australia,Academia,,,,,,,,,,
Queensland University of Technology,Australia,Academia,,,,,,,,,,
University of Adelaide,Australia,Academia,Univ of Adelaide,Univ. of Adelaide,,,,,,,,
University of Melbourne,Australia,Academia,,,,,,,,,,
University of New South Wales,Australia,Academia,Univ of New South Wales,Univ. of New South Wales,UNSW Australia,UNSW,@cse.unsw.edu.au,unsw.edu.au,,,,
University of Queensland,Australia,Academia,,,,,,,,,,
University of Sydney,Australia,Academia,Univ of Sydney,Univ. of Sydney,,,,,,,,
University of Technology Sydney,Australia,Academia,Univ of Technology Sydney,Univ. of Technology Sydney,"University of Technology, Sydney",,,,,,,
Monash University,Australia,Academia,,,,,,,,,,
University of South Australia,Australia,Academia,,,,,,,,,,
Grifﬁth University,Australia,Academia,,,,,,,,,,
Data61,Australia,Company,,,,,,,,,,
CSIRO,Australia,Government,Canberra Laboratory,cbr.dit.csiro.au,,,,,,,,
Telstra Research Laboratories,Australia,Government,,,,,,,,,,
Institute of Science and Technology Austria,Austria,Academia,IST Austria,"Institute of Science and Technology (IST), Austria",,,,,,,,
Johannes Kepler University,Austria,Academia,,,,,,,,,,
TU Graz,Austria,Academia,Graz Univ. of Technology,Graz University of Technology,Technische Universitaet Graz,Technische Universitat Graz,,,,,,
University Linz,Austria,Academia,Univ Linz,Univ. Linz,,,,,,,,
University of Salzburg,Austria,Academia,Univ of Salzburg,Univ. of Salzburg,,,,,,,,
Vienna University of Technology,Austria,Academia,,,,,,,,,,
University of Vienna,Austria,Academia,,,,,,,,,,
Alpen-Adria University,Austria,Academia,,,,,,,,,,
Austrian Institute of Technology,Austria,Government,,,,,,,,,,
Ghent University,Belgium,Academia,,,,,,,,,,
KU Leuven,Belgium,Academia,,,,,,,,,,
Vrije Universiteit Brussel,Belgium,Academia,,,,,,,,,,
NGDATA-Europe,Belgium,Company,,,,,,,,,,
Federal University of Sao Paulo,Brazil,Academia,,,,,,,,,,
PUC-Rio,Brazil,Academia,Pontifical Catholic University of Rio de Janeiro,@INF.PUC-RIO.BR,,,,,,,,
Dalhousie University,Canada,Academia,,,,,,,,,,
Ecole Polytechnique de Montreal,Canada,Academia,,,,,,,,,,
McMaster University,Canada,Academia,,,,,,,,,,
Simon Fraser University,Canada,Academia,,,,,,,,,,
Universite Laval,Canada,Academia,Universit?e Laval,Laval University,Laval,,,,,,,
University of Alberta,Canada,Academia,Univ of Alberta,Univ. of Alberta,,,,,,,,
University of British Columbia,Canada,Academia,Univ of British Columbia,Univ. of British Columbia,ubc.ca,,,,,,,
University of Montreal,Canada,Academia,Univ of Montreal,Univ. of Montreal,Universit?e de Montr?eal,Universite de Montreal,Universit? de Montr?al,Universit´e de Montr´eal,@iro.umontreal.ca,Université de Montréal,Universit de Montral,
University of Ottawa,Canada,Academia,,,,,,,,,,
University of Toronto,Canada,Academia,Univ of Toronto,Univ. of Toronto,@cs.toronto.edu,,,,,,,
University of Waterloo,Canada,Academia,Univ of Waterloo,Univ. of Waterloo,Univ. of Waterloo,,,,,,,
University of Guelph,Canada,Academia,,,,,,,,,,
York University,Canada,Academia,,,,,,,,,,
University of Victoria,Canada,Academia,,,,,,,,,,
Universit´e de Sherbrooke,Canada,Academia,,,,,,,,,,
Quest University,Canada,Academia,,,,,,,,,,
D-Wave,Canada,Company,,,,,,,,,,
layer6,Canada,Company,,,,,,,,,,
Borealis AI,Canada,Company,,,,,,,,,,
CIRANO,Canada,Independent Research,,,,,,,,,,
Universidad de Chile,Chile,Academia,,,,,,,,,,
Anhui University,China,Academia,,,,,,,,,,
Beijing Institute of Technology,China,Academia,Beijing Institute of Tech,,,,,,,,,
Beijing Jiaotong University,China,Academia,,,,,,,,,,
Beijing Normal University,China,Academia,bnu.edu.cn,,,,,,,,,
Beijing University of Posts and Telecommunications,China,Academia,,,,,,,,,,
Chinese Academy of Sciences,China,Academia,University of Chinese Academy of Sciences,"NLPR, Institute of Automation, Chinese Academy of Sciences",CAS Key lab of Network Data Science & Technology,,,,,,,
Dalian University of Technology,China,Academia,,,,,,,,,,
East China Normal University,China,Academia,,,,,,,,,,
Fudan University,China,Academia,,,,,,,,,,
Huazhong Univ. of Sci. and Tech.,China,Academia,Huazhong Univ. of Science and Technology,Huazhong University of Science and Technology,,,,,,,,
Nanjing University,China,Academia,,,,,,,,,,
Nanjing University of Aeronautics and Astronautics,China,Academia,,,,,,,,,,
National University of Defense Technology,China,Academia,,,,,,,,,,
Northwestern Polytechnical University,China,Academia,,,,,,,,,,
Peking University,China,Academia,,,,,,,,,,
Shanghai Jiaotong University,China,Academia,Shanghai Jiao Tong University,,,,,,,,,
Shanghai University,China,Academia,,,,,,,,,,
ShanghaiTech University,China,Academia,,,,,,,,,,
Shenzhen Graduate School,China,Academia,,,,,,,,,,
Sichuan University,China,Academia,,,,,,,,,,
Southern University of Science and Technology,China,Academia,,,,,,,,,,
Southern University of Science and Technology,China,Academia,SUSTech China,,,,,,,,,
Sun Yat-sen University,China,Academia,,,,,,,,,,
Tsinghua University,China,Academia,,,,,,,,,,
University of Science and Technology of China,China,Academia,,,,,,,,,,
Xi'an Jiaotong University,China,Academia,XiÕan Jiaotong University,@MAIL.XJTU.EDU.CN,Xi’an Jiaotong University,,,,,,,
Xidian University,China,Academia,,,,,,,,,,
Zhejiang University,China,Academia,,,,,,,,,,
Tianjin University,China,Academia,@TJU.EDU.CN,,,,,,,,,
Harbin Institute of Technology,China,Academia,,,,,,,,,,
Soochow University,China,Academia,,,,,,,,,,
Jilin University,China,Academia,,,,,,,,,,
Dalian Maritime University,China,Academia,,,,,,,,,,
Guizhou University,China,Academia,,,,,,,,,,
Changchun Institute of Technology,China,Academia,,,,,,,,,,
China University of Geosciences,China,Academia,,,,,,,,,,
Alibaba,China,Company,,,,,,,,,,
Baidu,China,Company,,,,,,,,,,
DJI,China,Company,,,,,,,,,,
Huawei,China,Company,Huawei Technologies Co. Ltd.,Noah's Ark Lab,huawei.com,,,,,,,
Qihoo 360,China,Company,,,,,,,,,,
SenseTime Group Ltd.,China,Company,SenseTime,@sensetime.com,,,,,,,,
Tencent,China,Company,Tencent AI Lab,,,,,,,,,
Lenovo,China,Company,Lenovo Research & Technology,@lenovo.com,,,,,,,,
Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education,China,Government,,,,,,,,,,
Universidad Nacional de Colombia,Colombia,Academia,,,,,,,,,,
Czech Technical University,Czechia,Academia,,,,,,,,,,
IT University of Copenhagen,Denmark,Academia,,,,,,,,,,
Technical University of Denmark,Denmark,Academia,Technical Univ. of Denmark,,,,,,,,,
University of Copenhagen,Denmark,Academia,Univ of Copenhagen,Univ. of Copenhagen,Niels Bohr Institute,,,,,,,
FindZebra,Denmark,Company,,,,,,,,,,
Aalto University,Finland,Academia,,,,,,,,,,
Helsinki University of Technology,Finland,Academia,,,,,,,,,,
University of Helsinki,Finland,Academia,Univ of Helsinki,Univ. of Helsinki,,,,,,,,
University of Jyvaskylat,Finland,Academia,,,,,,,,,,
Curious AI Company,Finland,Company,,,,,,,,,,
Nokia,Finland,Company,,,,,,,,,,
VTT Technical Research Centre of Finland,Finland,Government,,,,,,,,,,
Aix-Marseille Universit?e,France,Academia,,,,,,,,,,
Ecole Normale Superieure,France,Academia,ENS,École Normale Supérieure,ens.fr,E?cole Normale Superieure,,ENS Cachan - CMLA,,,,
École Polytechnique,France,Academia,"?cole Polytechnique,Palaiseau","?cole Polytechnique, Palaiseau",,Ecole Polytechnique,,,,,,
EPFL,France,Academia,Ecole polytechnique fédérale de Lausanne,,,,,,,,,
INSA de Rouen,France,Academia,,,,,,,,,,
INSEAD,France,Academia,,,,,,,,,,
Institut Universitaire de France,France,Academia,,,,,,,,,,
Jean Monnet University,France,Academia,l'Université Jean Monnet,,,,,,,,,
PSL Research University,France,Academia,,,,,,,,,,
Supélec,France,Academia,Sup?lec,,,,,,,,,
Telecom ParisTech,France,Academia,,,,,,,,,,
Universit? Joseph Fourier,France,Academia,,,,,,,,,,
Universit?e de Rouen,France,Academia,,,,,,,,,,
Universit?e de Technologie de Compi`egne,France,Academia,,,,,,,,,,
Universit?e Paris VI,France,Academia,,,,,,,,,,
Universit?e Paris-Sud,France,Academia,Université Paris Sud,,,,,,,,,
Universit?e Pierre et Marie Curie,France,Academia,,,,,,,,,,
Universit?e Ren?e Descartes,France,Academia,,,,,,,,,,
Universite Bordeaux,France,Academia,Univ. Bordeaux,,,,,,,,,
Universite Cote d'Azur,France,Academia,,,,,,,,,,
